Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
44,Mark Blount,C,31,MIN,82,2544,12.7,.546,.037,.232,6.6,16.9,11.9,4.5,0.9,1.8,14.7,19.8,0,0.6,2.2,2.8,.052,0,-2.7,-0.5,-3.2,-0.8
45,Keith Bogans,SG,26,ORL,59,990,9.2,.546,.559,.257,2.0,9.4,5.8,9.5,1.5,0.2,14.4,14.9,0,0.7,1.0,1.7,.080,0,-0.4,-1.0,-1.3,0.2
46,Andrew Bogut,C,22,MIL,66,2258,15.5,.566,.008,.308,8.7,21.9,15.2,13.9,1.1,1.2,17.4,17.3,0,2.6,1.4,4.0,.085,0,-0.1,0.7,0.5,1.4
47,Matt Bonner,PF,26,SAS,56,653,16.4,.542,.397,.160,12.3,16.4,14.4,5.7,1.4,1.2,9.0,20.3,0,1.1,1.2,2.2,.163,0,1.0,-0.6,0.4,0.4
48,Josh Boone,PF,22,NJN,61,669,14.6,.587,.000,.602,11.4,19.6,15.5,2.6,0.9,2.5,13.2,17.4,0,0.9,0.8,1.7,.122,0,-3.0,-1.4,-4.4,-0.4
49,Calvin Booth,C,30,WAS,44,380,9.6,.490,.030,.152,7.9,16.8,12.3,6.8,0.5,5.9,11.3,9.2,0,0.3,0.3,0.6,.072,0,-3.2,1.8,-1.4,0.1
50,Carlos Boozer,PF,25,UTA,74,2557,24.1,.588,.000,.322,11.2,29.9,20.6,16.6,1.4,0.7,12.8,26.5,0,6.5,3.4,9.9,.185,0,3.4,1.2,4.6,4.3
51,Chris Bosh,C,22,TOR,69,2658,22.6,.577,.032,.539,8.1,24.8,16.4,11.7,0.8,2.6,11.7,26.7,0,6.1,3.5,9.6,.174,0,1.3,1.3,2.6,3.1
52,Bruce Bowen,SF,35,SAS,82,2464,7.1,.511,.497,.156,1.2,9.4,5.5,7.0,1.3,0.7,11.5,10.9,0,0.4,3.6,4.1,.079,0,-1.4,1.9,0.5,1.5
53,Earl Boykins,PG,30,TOT,66,2031,16.2,.548,.311,.319,2.8,5.1,4.0,22.7,1.4,0.1,12.0,21.6,0,4.1,0.4,4.5,.105,0,1.9,-3.1,-1.2,0.4
54,Cedric Bozeman,SG,23,ATL,23,199,-0.1,.312,.333,.154,1.8,12.3,7.0,6.9,1.3,0.8,17.8,11.7,0,-0.4,0.1,-0.3,-0.077,0,-7.2,-1.0,-8.2,-0.3
55,Elton Brand,PF,27,LAC,80,3077,23.1,.581,.001,.381,10.5,18.3,14.5,14.7,1.3,4.5,12.5,24.3,0,7.2,4.3,11.5,.180,0,2.7,2.3,5.1,5.5
56,Ronnie Brewer,SG,21,UTA,56,675,15.2,.566,.047,.430,6.7,6.8,6.7,5.7,2.9,0.7,9.5,16.8,0,1.1,0.7,1.7,.124,0,0.1,-0.2,-0.2,0.3
57,Primoz Brezec,C,27,CHA,58,838,9.7,.474,.011,.248,11.0,15.2,13.0,4.6,0.7,2.1,11.1,18.5,0,0.0,0.6,0.7,.038,0,-3.7,-1.3,-5.1,-0.6
58,Andre Brown,PF,25,SEA,38,271,11.1,.577,.014,.203,11.4,21.4,16.4,1.2,1.2,1.1,26.5,18.4,0,-0.2,0.2,0.0,-0.002,0,-5.4,-3.1,-8.5,-0.4
59,Dee Brown,PG,22,UTA,49,450,8.6,.411,.286,.378,2.2,8.6,5.4,26.2,2.6,1.3,21.3,14.5,0,-0.2,0.5,0.2,.024,0,-3.4,-0.3,-3.7,-0.2
60,Devin Brown,SG,28,NOK,58,1662,14.3,.538,.409,.279,3.7,13.9,8.7,14.8,1.4,0.4,12.7,19.6,0,2.1,1.5,3.5,.102,0,1.3,-0.3,1.0,1.2
61,Kwame Brown,C,24,LAL,41,1132,13.7,.573,.004,.554,8.4,16.7,12.6,10.2,1.8,3.3,20.2,15.0,0,0.7,1.2,1.9,.080,0,-1.4,2.1,0.7,0.8
62,P.J. Brown,PF,37,CHI,72,1456,9.7,.462,.005,.292,10.2,17.0,13.6,5.0,0.8,2.8,15.3,17.0,0,-0.4,2.7,2.3,.075,0,-4.5,1.6,-3.0,-0.4
63,Shannon Brown,SG,21,CLE,23,202,7.5,.455,.338,.189,3.4,8.9,6.0,8.1,1.8,1.2,14.9,21.1,0,-0.2,0.3,0.1,.015,0,-4.4,-0.7,-5.1,-0.2
64,Kobe Bryant,SG,28,LAL,77,3140,26.1,.580,.227,.437,2.8,13.5,8.2,25.5,1.8,0.9,10.9,33.6,0,10.8,2.2,13.0,.199,0,6.1,-1.4,4.7,5.3
65,Greg Buckner,SG,30,DAL,76,1372,7.8,.486,.344,.114,3.1,10.6,6.9,7.6,1.8,0.4,11.3,12.0,0,0.4,1.7,2.2,.076,0,-1.5,1.0,-0.4,0.5
66,Pat Burke,C,33,PHO,23,164,9.3,.424,.338,.200,9.0,23.7,16.7,4.3,0.9,0.9,9.0,21.3,0,-0.1,0.2,0.1,.015,0,-4.6,-2.3,-6.9,-0.2
67,Caron Butler,SF,26,WAS,63,2474,18.3,.537,.074,.336,6.6,15.3,10.8,15.9,2.8,0.5,13.9,23.1,0,3.4,1.9,5.3,.103,0,1.4,0.5,1.9,2.5
68,Jackie Butler,C,21,SAS,11,103,9.6,.520,.000,.286,7.3,18.0,12.9,8.1,1.0,0.0,20.2,22.8,0,-0.1,0.2,0.1,.047,0,-5.4,-0.7,-6.1,-0.1
69,Rasual Butler,SF,27,NOK,81,2223,10.8,.495,.461,.110,2.1,11.4,6.7,4.7,1.0,1.9,7.5,18.3,0,0.8,1.8,2.6,.056,0,-1.0,-0.8,-1.7,0.2
70,Andrew Bynum,C,19,LAL,82,1793,15.4,.593,.007,.483,9.2,22.3,15.8,8.2,0.3,5.4,17.6,16.3,0,2.3,1.9,4.2,.112,0,-2.0,1.5,-0.5,0.7
71,Jose Calderon,PG,25,TOR,77,1614,19.1,.588,.149,.283,1.5,8.3,4.9,39.7,2.0,0.2,16.2,19.5,0,4.0,1.5,5.4,.162,0,2.1,-2.0,0.1,0.9
72,Marcus Camby,C,32,DEN,70,2369,19.1,.519,.003,.335,7.9,30.5,19.4,14.1,1.8,7.0,13.9,15.9,0,2.5,5.1,7.6,.155,0,-1.3,6.7,5.3,4.4
73,Brian Cardinal,PF,29,MEM,28,313,17.7,.655,.518,.318,5.0,17.6,11.3,16.1,3.6,0.2,19.2,17.3,0,0.7,0.3,0.9,.144,0,2.8,0.1,3.0,0.4
74,Rodney Carney,SF,22,PHI,67,1169,11.4,.514,.184,.222,4.0,9.1,6.6,3.8,1.7,1.5,9.1,18.7,0,0.4,1.0,1.3,.055,0,-2.1,-1.3,-3.4,-0.4
75,Matt Carroll,SG,26,CHA,72,1878,14.6,.580,.406,.316,2.1,11.2,6.5,8.2,1.5,0.4,8.9,19.9,0,3.4,1.2,4.6,.117,0,1.4,-1.7,-0.3,0.8
76,Anthony Carter,PG,31,DEN,2,37,3.3,.375,.250,.000,0.0,9.0,4.6,41.4,0.0,1.9,42.9,16.2,0,-0.1,0.0,-0.1,-0.115,0,-9.2,-4.0,-13.2,-0.1
77,Vince Carter,SG,30,NJN,82,3126,21.8,.559,.273,.360,4.3,14.2,9.3,25.1,1.4,0.8,10.5,30.8,0,7.4,3.1,10.5,.161,0,4.7,-0.6,4.1,4.8
78,Sam Cassell,PG,37,LAC,58,1407,17.1,.506,.174,.291,2.3,11.8,7.1,35.3,1.1,0.4,12.5,26.5,0,1.7,1.0,2.8,.095,0,1.4,-2.4,-0.9,0.4
79,Kelvin Cato,C,32,NYK,18,95,12.3,.403,.000,.545,15.2,23.5,19.4,0.0,1.7,8.4,18.0,15.9,0,-0.1,0.2,0.1,.036,0,-8.1,-0.2,-8.3,-0.2
80,Tyson Chandler,C,24,NOK,73,2525,17.0,.620,.002,.429,14.3,27.3,20.7,4.1,0.8,4.1,18.5,12.3,0,4.1,3.8,7.9,.150,0,-0.3,2.8,2.5,2.9
81,Josh Childress,SG,23,ATL,55,2024,16.2,.586,.149,.405,7.2,13.1,10.1,10.8,1.5,1.4,11.6,15.7,0,4.1,1.4,5.5,.130,0,1.6,0.4,2.0,2.0
82,Doug Christie,SG,36,LAC,7,82,4.1,.355,.353,.176,4.4,11.6,8.0,14.6,1.9,0.9,21.4,13.1,0,-0.1,0.1,-0.1,-0.031,0,-5.3,0.0,-5.3,-0.1
83,Speedy Claxton,PG,28,ATL,42,1054,7.3,.363,.101,.216,1.4,8.0,4.6,28.1,3.6,0.3,19.8,16.6,0,-1.8,1.0,-0.7,-0.034,0,-4.6,-0.5,-5.1,-0.8
84,Jarron Collins,C,28,UTA,82,913,8.0,.494,.000,.488,9.5,13.3,11.4,9.5,0.7,0.7,15.2,12.0,0,0.7,0.6,1.3,.067,0,-2.0,-0.2,-2.2,-0.1
85,Jason Collins,PF,28,NJN,80,1844,3.0,.408,.013,.841,5.8,14.4,10.1,3.5,1.1,1.6,26.1,7.1,0,-1.3,1.9,0.6,.015,0,-5.5,2.1,-3.5,-0.7
86,Mardy Collins,SF,22,NYK,52,777,9.2,.445,.206,.360,4.3,11.5,8.0,17.4,2.2,0.3,17.8,18.8,0,-0.6,0.6,0.0,.002,0,-3.1,-0.5,-3.7,-0.3
87,Nick Collison,C,26,SEA,82,2378,14.2,.546,.003,.313,11.4,22.2,16.8,5.4,1.1,2.1,14.5,16.2,0,2.8,1.8,4.6,.093,0,-1.1,0.3,-0.8,0.7
88,Will Conroy,PG-SG,24,TOT,7,52,1.1,.000,.000,1.333,6.9,9.1,8.1,23.6,0.0,0.0,29.6,6.0,0,-0.1,0.0,-0.1,-0.062,0,-6.5,-1.5,-8.0,-0.1
89,Brian Cook,PF,26,LAL,65,1018,14.8,.525,.282,.115,7.1,17.6,12.4,10.8,1.3,2.0,10.6,21.2,0,0.9,0.8,1.8,.083,0,-0.6,-1.3,-1.9,0.0
90,Jamal Crawford,SG,26,NYK,59,2198,14.5,.517,.363,.307,2.4,7.8,5.1,20.9,1.4,0.3,13.9,24.1,0,2.3,0.9,3.1,.069,0,1.4,-2.0,-0.6,0.7
