Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
47,Chucky Brown,SF,32,TOT,26,339,9.7,.464,.032,.358,2.6,15.7,9.0,5.3,1.4,1.5,6.8,15.5,0,0.1,0.2,0.4,.050,0,-4.0,-1.2,-5.2,-0.3
48,Dee Brown,PG,32,ORL,7,155,9.0,.519,.727,.114,0.0,8.1,3.9,11.9,1.3,0.0,13.2,15.2,0,0.1,0.1,0.2,.059,0,-0.8,-2.7,-3.5,-0.1
49,P.J. Brown,C,31,CHH,80,2811,13.3,.518,.007,.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,0,3.4,4.7,8.0,.137,0,-1.3,2.8,1.5,2.5
50,Randy Brown,PG,32,BOS,54,1238,8.2,.438,.013,.169,2.1,7.5,4.7,20.1,2.6,0.6,18.0,11.4,0,-0.1,1.0,0.9,.034,0,-3.8,-0.1,-3.9,-0.6
51,Rick Brunson,PG,28,TOT,22,208,6.3,.380,.259,.278,2.9,9.2,6.0,24.2,2.0,0.4,21.9,17.4,0,-0.4,0.2,-0.2,-0.039,0,-5.4,-1.7,-7.1,-0.3
52,Kobe Bryant,SG,22,LAL,68,2783,24.5,.552,.132,.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,0,9.2,2.2,11.3,.196,0,5.3,-1.0,4.2,4.4
53,Mark Bryant,PF,35,DAL,18,101,2.1,.428,.000,.250,4.5,18.3,11.6,4.2,0.5,1.4,18.4,12.2,0,-0.1,0.1,0.0,.005,0,-6.2,-0.5,-6.6,-0.1
54,Greg Buckner,SG,24,DAL,37,820,12.1,.503,.036,.422,8.4,12.9,10.7,8.8,2.1,0.8,10.6,14.1,0,1.1,0.9,2.0,.118,0,-0.3,1.1,0.8,0.6
55,Jud Buechler,SF,32,DET,57,737,9.9,.570,.470,.073,2.9,11.0,6.8,8.4,1.4,1.0,12.9,11.4,0,0.8,0.7,1.5,.098,0,-1.1,0.1,-1.0,0.2
56,Rodney Buford,SF,23,PHI,47,573,11.3,.489,.158,.120,3.2,11.2,7.3,5.4,1.6,0.8,10.3,22.3,0,0.1,0.7,0.8,.071,0,-2.7,-1.6,-4.3,-0.3
57,Matt Bullard,PF,33,HOU,61,1000,13.0,.569,.698,.046,2.6,12.2,7.5,6.9,0.5,0.6,3.7,14.9,0,2.2,0.4,2.6,.125,0,2.2,-2.6,-0.3,0.4
58,Scott Burrell,SF,30,CHH,4,41,12.8,.507,.400,.267,2.8,5.5,4.2,4.6,3.9,0.0,0.0,18.8,0,0.1,0.1,0.1,.135,0,0.6,-1.6,-1.0,0.0
59,Jason Caffey,PF,27,MIL,70,1460,13.7,.544,.000,.575,10.6,16.8,13.7,5.5,1.4,1.3,14.3,16.6,0,2.3,1.2,3.5,.114,0,-1.1,-0.7,-1.8,0.1
60,Marcus Camby,C,26,NYK,63,2127,20.9,.559,.014,.388,11.5,29.0,20.5,4.5,1.7,5.2,8.5,17.0,0,4.8,5.5,10.3,.233,0,0.1,4.1,4.2,3.3
61,Elden Campbell,PF,32,CHH,78,2337,16.4,.505,.007,.487,7.7,21.9,14.8,8.1,1.4,4.4,12.4,22.8,0,1.9,4.5,6.4,.131,0,-2.6,1.9,-0.7,0.8
62,Brian Cardinal,PF,23,DET,15,126,4.7,.398,.161,.581,6.7,13.0,9.8,3.6,2.8,1.1,18.8,16.5,0,-0.2,0.2,0.0,-0.009,0,-6.0,0.5,-5.5,-0.1
63,Chris Carr,SG,26,BOS,35,309,16.3,.611,.330,.536,4.0,13.0,8.3,6.7,0.7,0.7,12.1,23.1,0,0.8,0.2,0.9,.142,0,0.2,-4.4,-4.2,-0.2
64,Anthony Carter,PG,25,MIA,72,1630,11.3,.439,.083,.215,3.4,9.8,6.6,29.5,2.5,0.5,18.5,19.2,0,-0.8,2.5,1.7,.050,0,-2.8,0.7,-2.1,0.0
65,Vince Carter,SF,24,TOR,75,2979,25.0,.551,.240,.303,6.5,9.3,7.9,19.2,2.0,1.9,8.2,30.7,0,10.3,2.6,12.9,.208,0,7.7,-0.6,7.0,6.8
