
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
60,Adrian Dantley*,SF,28,UTA,55,1971,21.9,.607,.000,.565,8.0,9.0,8.5,15.2,1.3,0.2,12.4,27.7,,5.6,2.3,8.0,.194,,4.5,-0.6,3.9,3.0
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
61,Brad Davis,PG,29,DAL,82,2539,15.2,.596,.187,.290,1.7,7.1,4.3,29.5,1.7,0.2,15.1,13.4,,5.7,1.7,7.4,.140,,1.8,-1.5,0.4,1.5
62,Charles Davis,SF,26,TOT,61,774,11.1,.467,.028,.174,8.5,13.4,11.0,9.4,1.4,0.4,12.3,23.0,,-0.1,1.1,1.0,.060,,-2.8,-1.1,-3.9,-0.4
63,Johnny Davis,PG,29,CLE,76,1920,14.7,.510,.058,.379,2.0,4.7,3.4,31.6,1.1,0.1,14.1,22.5,,2.3,0.8,3.0,.076,,0.4,-3.0,-2.6,-0.3
64,Walter Davis,SG,30,PHO,23,570,14.9,.506,.032,.236,1.2,5.7,3.5,26.8,1.5,0.0,12.8,27.9,,0.2,0.4,0.6,.050,,-0.8,-3.3,-4.0,-0.3
65,Darryl Dawkins,C,28,NJN,39,972,14.5,.616,.003,.593,6.1,15.0,10.4,6.4,0.7,2.1,17.9,21.6,,1.2,0.9,2.1,.104,,-1.0,-0.9,-1.9,0.0
66,Darren Daye,SF,24,WSB,80,1573,15.7,.566,.014,.494,6.4,12.9,9.5,21.0,1.6,0.7,17.9,19.8,,1.8,2.1,3.8,.117,,-0.1,0.7,0.6,1.0
67,James Donaldson,C,27,LAC,82,2392,14.6,.679,.000,.550,8.0,22.4,15.5,2.7,0.6,2.9,23.1,15.2,,2.5,2.5,5.0,.101,,-1.3,0.5,-0.9,0.7
68,John Drew,SF,30,UTA,19,463,15.2,.491,.015,.469,8.2,10.0,9.2,11.6,2.2,0.2,11.8,30.5,,0.0,0.7,0.7,.070,,-1.0,-1.2,-2.2,0.0
